time,height
0.1,0.0519
0.2,0.1557
0.3,0.3114
0.4,0.519
0.5,0.7785
0.6,1.0899
0.7,1.4532
0.8,1.8684
0.9,2.3355
1,2.8545
1.1,3.4254
1.2,4.0482
1.3,4.7229
1.4,5.4495
1.5,6.228
1.6,7.0584
1.7,7.9407
1.8,8.8749
1.9,9.861
2,10.899
2.1,11.9889
2.2,13.1307
2.3,14.3244
2.4,15.57
2.5,16.8675
2.6,18.2169
2.7,19.6182
2.8,21.0714
2.9,22.5765
3,24.1335
3.1,25.7424
3.2,27.4032
3.3,29.1159
3.4,30.8805
3.5,32.697
3.6,34.5654
3.7,36.4857
3.8,38.4579
3.9,40.482
4,42.558
4.1,44.6859
4.2,46.8657
4.3,49.0974
4.4,51.381
4.5,53.7165
4.6,56.1039
4.7,58.5432
4.8,61.0344
4.9,63.5775
5,66.1725
5.1,68.8194
5.2,71.5182
5.3,74.2689
5.4,77.0715
5.5,79.926
5.6,82.8324
5.7,85.7907
5.8,88.8009
5.9,91.863
6,94.977
6.1,98.1429
6.2,101.361
6.3,104.63
6.4,107.952
6.5,111.325
6.6,114.751
6.7,118.228
6.8,121.757
6.9,125.338
7,128.971
7.1,132.656
7.2,136.393
7.3,140.182
7.4,144.022
7.5,147.915
7.6,151.859
7.7,155.856
7.8,159.904
7.9,164.004
8,168.156
8.1,172.36
8.2,176.616
8.3,180.923
8.4,185.283
8.5,189.694
8.6,194.158
8.7,198.673
8.8,203.24
8.9,207.859
9,212.53
9.1,217.253
9.2,222.028
9.3,226.855
9.4,231.733
9.5,236.664
9.6,241.646
9.7,246.681
9.8,251.767
9.9,256.905
10,262.095
10.1,267.337
10.2,272.631
10.3,277.976
10.4,283.374
10.5,288.823
10.6,294.325
10.7,299.878
10.8,305.483
10.9,311.14
11,316.849
11.1,322.61
11.2,328.423
11.3,334.288
11.4,340.204
11.5,346.173
11.6,352.193
11.7,358.266
11.8,364.39
11.9,370.566
12,376.794
12.1,383.074
12.2,389.406
